subject,start_sec,end_sec,window_sec,step_sec,bvp_mean,bvp_std,bvp_min,bvp_max,bvp_range,bvp_median,bvp_energy,original_label,label,label_purity
S2,840,900,60,30,-0.15470572916666664,28.26191981781147,-116.17,380.05,496.22,3.825,798.7600456510415,1,0,1.0
S2,870,930,60,30,0.08410677083333332,37.9480988164819,-314.16,225.36,539.52,2.885,1440.0652777343746,1,0,1.0
S2,900,960,60,30,-0.10170312499999994,43.35171797544224,-314.16,225.36,539.52,3.31,1879.3817949479164,1,0,1.0
S2,930,990,60,30,-0.030273437499999882,35.67406710563745,-182.35,204.13,386.48,4.45,1272.6399803385418,1,0,1.0
S2,960,1020,60,30,0.26253125000000005,27.38319305190272,-182.35,204.13,386.48,3.88,749.9081843750001,1,0,1.0
S2,990,1050,60,30,0.0065859374999999686,22.960102573663203,-230.28,181.44,411.72,2.86,527.1663535677084,1,0,1.0
S2,1020,1080,60,30,0.03411197916666663,23.42825798766137,-230.28,181.44,411.72,2.5599999999999996,548.8844359635417,1,0,1.0
S2,1050,1110,60,30,-0.051098958333333354,19.626275965436164,-78.59,87.06,165.65,4.15,385.19331937500004,1,0,1.0
S2,1080,1140,60,30,0.020757812499999993,21.78102319522498,-60.03,36.42,96.45,7.08,474.41340231770835,1,0,1.0
S2,1110,1170,60,30,0.06995572916666673,25.544831149600142,-171.28,101.42,272.7,5.42,652.5432922656249,1,0,1.0
S2,1140,1200,60,30,-0.3320364583333333,35.414638350527746,-225.29,212.29,437.58,4.0649999999999995,1254.3068577083332,1,0,1.0
S2,1170,1230,60,30,-0.06193489583333325,47.42619712545188,-261.35,444.13,705.48,2.665,2249.2480097135417,1,0,1.0
S2,1200,1260,60,30,0.33202604166666677,40.110104195219996,-261.35,444.13,705.48,2.285,1608.93069984375,1,0,1.0
S2,1230,1290,60,30,0.0329713541666667,17.813341100001782,-65.1,62.53,127.63,3.355,317.31620825520827,1,0,1.0
S2,1260,1320,60,30,0.30294531250000006,45.31193627577075,-210.62,327.42,538.04,3.95,2053.263344921875,1,0,1.0
S2,1290,1350,60,30,-0.07365624999999962,58.37835233608075,-404.55,327.42,731.97,4.16,3408.03744671875,1,0,1.0
S2,1320,1380,60,30,-0.28816927083333294,42.85295623927602,-404.55,259.43,663.98,7.08,1836.458899973958,1,0,1.0
S2,1350,1410,60,30,-0.11722395833333325,43.575724515298376,-306.06,233.82,539.88,9.98,1898.8575084895833,1,0,1.0
S2,1380,1440,60,30,0.8342109374999993,136.88754697953826,-668.24,464.19,1132.43,11.190000000000001,18738.896425963543,1,0,1.0
S2,2280,2340,60,30,0.34930989583333333,126.61448927160008,-762.88,450.12,1213.0,6.279999999999999,16031.350910911458,2,1,1.0
S2,2310,2370,60,30,-0.20361197916666657,92.75961760137093,-762.88,306.62,1069.5,6.095,8604.388115390624,2,1,1.0
S2,2340,2400,60,30,-0.5170781249999998,82.61098874332728,-731.27,306.62,1037.8899999999999,-0.92,6824.8428309374995,2,1,1.0
S2,2370,2430,60,30,-0.5074531250000001,66.16150754477079,-464.57,299.26,763.8299999999999,0.0,4377.602589270833,2,1,1.0
S2,2400,2460,60,30,-0.0646536458333333,78.95014320221891,-464.57,358.01,822.5799999999999,0.31,6233.129291744792,2,1,1.0
S2,2430,2490,60,30,0.723104166666667,91.27133438156382,-545.31,358.01,903.3199999999999,-2.49,8330.979359427083,2,1,1.0
S2,2460,2520,60,30,0.03970052083333352,96.50701871139402,-545.31,314.1,859.41,-0.745,9313.606236692709,2,1,1.0
S2,2490,2550,60,30,-0.32148177083333335,97.70403297964033,-649.86,575.34,1225.2,1.255,9546.181411015627,2,1,1.0
S2,2520,2580,60,30,0.10650520833333328,82.0890752366178,-649.86,575.34,1225.2,1.47,6738.6276165625,2,1,1.0
S2,2550,2610,60,30,-0.14405989583333334,57.046079274342226,-579.93,332.32,912.25,0.76,3254.2759138281253,2,1,1.0
S2,2580,2640,60,30,-0.12838802083333317,32.56757472980958,-260.26,96.8,357.06,0.63,1060.663407265625,2,1,1.0
S2,2610,2670,60,30,0.23034635416666718,49.90687288339984,-342.26,222.31,564.5699999999999,1.685,2490.7490204427086,2,1,1.0
S2,2640,2700,60,30,0.04995312500000022,52.932383108152415,-342.26,222.31,564.5699999999999,1.83,2801.8396768229168,2,1,1.0
S2,2670,2730,60,30,-0.11858854166666676,37.41490944932963,-201.46,208.57,410.03,1.03,1399.8895123437499,2,1,1.0
S2,2700,2760,60,30,0.15459635416666673,25.925493252973737,-151.26,139.7,290.96,1.13,672.1551004427082,2,1,1.0
S2,2730,2790,60,30,0.029765625000000084,33.08568420589412,-205.11,100.56,305.67,0.87,1094.6633853645835,2,1,1.0
S2,2760,2820,60,30,-0.14879947916666653,43.826476541980774,-205.11,149.47,354.58000000000004,0.665,1920.7821873697917,2,1,1.0
S2,2790,2850,60,30,-0.05087239583333325,43.89338732934762,-167.49,172.07,339.56,0.945,1926.6320392447917,2,1,1.0
S2,2820,2880,60,30,-0.019104166666666523,38.543751473293085,-167.49,172.07,339.56,0.59,1485.6211426041666,2,1,1.0
S2,4770,4830,60,30,-0.1300494791666669,30.26793212678935,-126.1,252.96,379.06,2.72,916.1646280989585,3,0,1.0
S2,4800,4860,60,30,-0.05896354166666685,28.7871751577186,-115.07,133.41,248.48,2.9,828.7049302604166,3,0,1.0
S2,4830,4890,60,30,0.06746614583333349,55.383872937185345,-557.03,274.22,831.25,2.41,3067.3779332031254,3,0,1.0
S2,4860,4920,60,30,0.026046875000000285,53.41512126922615,-557.03,274.22,831.25,1.0550000000000002,2853.1758586458336,3,0,1.0
S2,4890,4950,60,30,0.007710937499999989,25.53035339092276,-143.47,103.2,246.67000000000002,0.425,651.7990037239583,3,0,1.0
S2,4920,4980,60,30,0.05266927083333336,24.53719791342731,-143.21,116.77,259.98,0.9,602.0768554947917,3,0,1.0
S2,4950,5010,60,30,-0.07637239583333323,19.998294361954045,-108.56,116.77,225.32999999999998,0.895,399.9376101302084,3,0,1.0
S2,4980,5040,60,30,-0.059830729166666624,56.73144428143713,-640.66,408.55,1049.21,1.975,3218.4603499739583,3,0,1.0
S2,5010,5070,60,30,0.0909427083333334,66.71866320678858,-640.66,408.55,1049.21,6.54,4451.388290677083,3,0,1.0
S2,5040,5100,60,30,-0.014549479166666846,62.46607927636898,-484.97,274.9,759.87,8.205,3902.0112718489586,3,0,1.0
S2,5070,5130,60,30,-0.06661979166666682,53.61919132906169,-471.2,274.9,746.0999999999999,5.465,2875.022116979167,3,0,0.9257857142857143
